Year,Country,GDP (Current USD),Total Population,Life Expectancy,GDP/Capita,Area (km2),Population Density (/km2),Unemployment Rate (%)
1960,Australia,18573188487.00,10276477.00,71.00,1807.00, -   , -   , -
1960,Brazil,15165569913.00,72207554.00,55.00,210.00, -   , -   , -
1960,Canada,41093453545.00,17909009.00,71.00,2295.00, -   , -   , -
1960,China,59716467625.00,667070000.00,31.00,90.00, -   , -   , -
1960,France,62651474947.00,46814237.00,70.00,1338.00, -   , -   , -
1960,United Kingdom,72328047042.00,52400000.00,71.00,1380.00, -   , -   , -
1960,India,36535925031.00,449480608.00,41.00,81.00, -   , -   , -
1960,Ireland,1939329775.00,2828600.00,71.00,686.00, -   , -   , -
1960,Italy,40385288344.00,50199700.00,69.00,804.00, -   , -   , -
1960,Mexico,13040000000.00,38174112.00,57.00,342.00, -   , -   , -
1960,Nigeria,4196092258.00,45137812.00,40.00,93.00, -   , -   , -
1960,Netherlands,12276734172.00,11486631.00,73.00,1069.00, -   , -   , -
1960,New Zealand,5485854792.00,2371800.00,71.00,2313.00, -   , -   , -
1960,Thailand,2760747472.00,27397175.00,55.00,101.00, -   , -   , -
1960,United States,543300000000.00,180671000.00,70.00,3007.00, -   , -   ,6.00
1961,Australia,19648336880.00,10483000.00,71.00,1874.00,7741220.00,1.00, -
1961,Brazil,15236854859.00,74351763.00,56.00,205.00,8515770.00,9.00, -
1961,Canada,40767969454.00,18271000.00,71.00,2231.00,9984670.00,2.00, -
1961,China,50056868958.00,660330000.00,33.00,76.00,9562950.00,70.00, -
1961,France,68346741504.00,47444751.00,71.00,1441.00,549086.00,87.00, -
1961,United Kingdom,76694360636.00,52800000.00,71.00,1453.00,243610.00,218.00, -
1961,India,38709096076.00,458494963.00,42.00,84.00,3287260.00,154.00, -
1961,Ireland,2088012282.00,2824400.00,70.00,739.00,70280.00,41.00, -
1961,Italy,44842760293.00,50536350.00,70.00,887.00,301340.00,172.00, -
1961,Mexico,14160000000.00,39394126.00,58.00,359.00,1964380.00,20.00, -
1961,Nigeria,4467200336.00,46062905.00,41.00,97.00,923770.00,51.00, -
1961,Netherlands,13493833740.00,11638712.00,74.00,1159.00,41530.00,345.00, -
1961,New Zealand,5670064168.00,2419700.00,71.00,2343.00,267710.00,9.00, -
1961,Thailand,3034043574.00,28224204.00,56.00,107.00,513120.00,55.00, -
1961,United States,563300000000.00,183691000.00,70.00,3067.00,9629090.00,20.00,7.00
1962,Australia,19888005376.00,10742000.00,71.00,1851.00,7741220.00,1.00, -
1962,Brazil,19926293839.00,76573248.00,56.00,260.00,8515770.00,9.00, -
1962,Canada,41978852041.00,18614000.00,71.00,2255.00,9984670.00,2.00, -
1962,China,47209359006.00,665770000.00,43.00,71.00,9562950.00,71.00, -
